exp_name,path,t,val,threshold,distillation,tied_weights,student_td,teacher_td
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.5.npy,7,77.4702678644155,0.5,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.75.npy,3,83.30999038776746,0.75,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.75.npy,7,82.71128214293557,0.75,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__1.0.npy,0,60.51365021654548,1.0,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__1.0.npy,1,78.08791272488448,1.0,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__1.0.npy,2,86.30980867124445,1.0,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__1.0.npy,3,87.70443555295365,1.0,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__1.0.npy,4,88.07060809568473,1.0,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__1.0.npy,5,87.96383743743824,1.0,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__1.0.npy,6,87.64247525388991,1.0,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__1.0.npy,7,87.139691106887,1.0,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.25.npy,0,24.290403458625164,0.25,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.25.npy,1,41.241332746569434,0.25,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.25.npy,2,53.673386184838435,0.25,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.25.npy,3,56.45250375313465,0.25,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.25.npy,4,57.58934834001056,0.25,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.25.npy,5,57.50551323965387,0.25,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.75.npy,6,83.22260721653267,0.75,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.25.npy,6,57.01761773433347,0.25,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.75.npy,5,83.607107949269,0.75,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.75.npy,2,81.47526647970726,0.75,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.75.npy,1,71.48567488232945,0.75,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.75.npy,0,52.53847026813534,0.75,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.5.npy,6,77.92639719336319,0.5,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.75.npy,4,83.80922426010217,0.75,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.5.npy,4,78.50896164630628,0.5,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.5.npy,3,77.88668484438304,0.5,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.5.npy,2,75.67410222199649,0.5,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.5.npy,1,64.22342875612983,0.5,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.5.npy,0,44.687459306294706,0.5,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.5.npy,5,78.28323186184211,0.5,True,True,0.0,1.0
"tied StudentTD(0.0),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0__distill__TD_1.0/result__0.25.npy,7,56.61872649680338,0.25,True,True,0.0,1.0
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.75.npy,7,78.54823031017601,0.75,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.5.npy,0,1.675352030427461,0.5,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__1.0.npy,0,4.103200683766213,1.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__1.0.npy,1,2.593648252292835,1.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__1.0.npy,2,9.136652686451246,1.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.75.npy,4,9.520367292156193,0.75,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__1.0.npy,4,13.147952672774437,1.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.9.npy,6,79.00539236515458,0.9,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.9.npy,7,81.62921401677944,0.9,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.75.npy,6,75.8119339047874,0.75,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.9.npy,5,32.89697148920753,0.9,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__1.0.npy,3,13.423363653200674,1.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.75.npy,5,30.38725529296085,0.75,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.5.npy,6,69.73589502198796,0.5,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__1.0.npy,6,80.98004342518155,1.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.75.npy,2,5.5162259547933745,0.75,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.75.npy,1,1.747508775110159,0.75,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.75.npy,0,2.507371404416857,0.75,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.5.npy,7,72.80610288378729,0.5,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.5.npy,5,26.656393442370874,0.5,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.5.npy,4,7.242833274549793,0.5,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.5.npy,3,6.4443886834016615,0.5,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.5.npy,2,3.721532339726715,0.5,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.5.npy,1,1.1644540419632516,0.5,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.75.npy,3,9.52597991491956,0.75,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__1.0.npy,7,83.70895966287458,1.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__1.0.npy,5,34.76901700063235,1.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.1.npy,0,0.08726257353580684,0.1,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.0.npy,2,0.0,0.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.1.npy,2,0.13608700001417567,0.1,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.1.npy,7,13.482430230076156,0.1,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.9.npy,4,11.429678019160686,0.9,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.9.npy,3,11.886446692922254,0.9,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.9.npy,2,7.527421549384103,0.9,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.9.npy,1,2.1972048625725082,0.9,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.1.npy,1,0.05474543919197924,0.1,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.25.npy,7,52.825522936060906,0.25,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.25.npy,6,48.205767640968624,0.25,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.25.npy,5,15.915381686522418,0.25,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.25.npy,4,3.267984757444694,0.25,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.25.npy,3,2.2382694102060965,0.25,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.25.npy,2,1.2818495075607248,0.25,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.25.npy,1,0.3325803925494984,0.25,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.9.npy,0,3.3550422973509484,0.9,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.0.npy,7,0.0,0.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.25.npy,0,0.6036213417363077,0.25,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.1.npy,3,0.41964286991148403,0.1,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.1.npy,4,0.4708482089135555,0.1,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.1.npy,6,11.37451406264348,0.1,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.0.npy,0,0.0,0.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.1.npy,5,2.882103117462206,0.1,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.0.npy,3,0.0,0.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.0.npy,4,0.0,0.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.0.npy,5,0.0,0.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.0.npy,6,0.0,0.0,False,True,0.0,y
"tied StudentTD(0.0),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.0/result__0.0.npy,1,0.0,0.0,False,True,0.0,y
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.25.npy,3,60.52663754022048,0.25,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.25.npy,7,60.88842967706475,0.25,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.25.npy,2,59.36588609372989,0.25,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.25.npy,1,52.36161964929739,0.25,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.25.npy,0,32.40143295370386,0.25,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__1.0.npy,7,90.5039544802187,1.0,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__1.0.npy,5,90.46400160966684,1.0,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__1.0.npy,6,90.55258177155804,1.0,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__1.0.npy,3,90.29635067240595,1.0,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__1.0.npy,2,89.76129608006634,1.0,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__1.0.npy,1,86.56287254972088,1.0,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__1.0.npy,0,72.2125229340832,1.0,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.75.npy,7,86.52057281772359,0.75,True,True,0.25,1.0
